time,S,E,R,I,H
1951.51266255989,101502.49260888317,1734.8687145563692,1952661.033153005,1105.4032011541424,3177.4071460536043
1951.55099247091,101499.77097986272,1501.0558228905702,1955672.1731077563,1031.8889467079032,3011.1458197028137
1951.58932238193,102866.43081788834,846.6065914284092,1958031.8523856371,651.1287113969162,2359.6851511245104
1951.62765229295,104737.60157488259,502.59545516819264,1959450.176890218,385.6029106203422,1418.3303834022313
1951.66598220397,106914.79125611785,303.59489959207167,1960294.3938970605,231.30268175114915,844.2228889813545
1951.70431211499,109189.75651189848,243.00048154621192,1960810.8482516673,155.964275475044,516.4602387363169
1951.74264202601,111381.22386601171,256.08056271858186,1961246.5916042284,157.71870123944166,435.7492380624841
1951.78097193703,113531.92764317732,272.21910704721813,1961699.3187068675,166.33983054497202,452.7329894686811
1951.81930184805,115626.56556964532,295.46052143358173,1962182.051533319,179.23447344700938,482.7387146817605
1951.85763175907,117834.19752302703,246.92619139928848,1962647.9325869062,152.86667024839716,465.88694327497444
1951.89596167009,119918.26874915474,282.54585357369996,1963095.1555239465,168.9796232352225,447.2288280606166
1951.93429158111,121911.03460893496,326.17126275055796,1963601.321223965,193.73720669921636,506.17159246454844
1951.97262149213,123786.10596919221,383.50171114912075,1964187.4109465901,226.38687829104572,586.0956167056232
1952.01095140315,125888.60906712338,258.76054504232957,1964786.1846356767,184.71747068294573,598.7795850013462
1952.04928131417,127886.1105604266,305.3100634200172,1965266.598048214,178.63921520546532,480.41931003875413
1952.08761122519,129715.85273110346,380.35527872658747,1965821.923864199,220.3580128837561,555.3317150099873
1952.12594113621,131351.64304380308,480.7223371401566,1966514.3643939747,277.0578728233399,692.4464306623552
1952.16427104723,132731.29079115737,616.0150192362559,1967391.7850102538,353.47346984527724,877.4265195083036
1952.20260095825,133772.01393157474,798.0877652899309,1968518.4839574546,456.3914457460593,1126.7048534176822
1952.24093086927,134365.17161322339,1041.5148616457268,1969980.2076681543,594.3317072176717,1461.7296207765717
1952.27926078029,134522.4797182626,1229.0422759723772,1971886.8343293995,763.1536287354858,1906.6325763484515
1952.31759069131,135387.64816820683,955.3662477461271,1973845.1528584552,618.1268802489436,1958.3244501974077
1952.35592060233,135387.6658436808,1330.411551538377,1975720.6560695663,757.0388284582655,1875.5091377879482
1952.39425051335,134659.5049789051,1751.5519986155225,1978162.1577776198,997.4766220781952,2441.507641144437
1952.43258042437,132981.47986708742,2278.7886388492293,1981367.6840494985,1303.298587003194,3205.5322133979657
1952.47091033539,130183.52895146447,2902.1374687350285,1985520.3038181337,1672.470384221003,4152.625721152158
1952.50924024641,126174.43071517353,3577.570227372067,1990775.1434645609,2085.3890309622657,5254.84561303086
1952.54757015743,121308.68291947304,3950.5376570007948,1997196.9177681194,2478.466808623352,6421.780287686456
1952.58590006845,119522.87937575488,2531.0970459186974,2003353.1594889117,1837.9768321982763,6156.2477245639175
1952.62422997947,119023.00204036928,1688.4413171111432,2007600.520342731,1232.9348341951295,4247.366873144114
1952.66255989049,119440.36272465557,1128.9694614151435,2010441.37680254,823.904790865375,2840.8624896321708
1952.70088980151,120225.87116240917,943.6169082913084,2012354.0865399553,591.2170336624416,1912.7157742610916
1952.73921971253,120529.13010749947,1109.1218517149866,2014087.9196264043,660.0570306405064,1733.8391285415755
1952.77754962355,120534.1892351839,1279.9342094432252,2016073.9540711255,761.1592976170396,1986.0404923762285
1952.81587953457,120188.53596833376,1474.2184064551325,2018364.5021137525,877.3868489488083,2290.5540966885037
1952.85420944559,120358.32264217349,1261.3542503063406,2020748.6330291894,784.3360975766241,2384.136976693816
1952.89253935661,119980.83810885294,1476.2869996587451,2023057.529541518,879.3521498232137,2308.902580459058
1952.93086926762,119235.6638661732,1688.9219501670168,2025696.5564235293,1007.7480685152669,2639.032957546697
1952.96919917864,118088.00015498424,1913.970428890882,2028710.0393020574,1145.9170428551274,3013.488962539584
1953.00752908966,118060.85667906122,1298.546875630154,2031779.2949384458,942.6019111888421,3069.261729788193
1953.04585900068,118049.43577794595,1342.63075498105,2034097.0518937164,810.3529001921773,2317.7630566775665
1953.0841889117,117587.82684087954,1515.951595072457,2036499.5167393065,909.3708080486417,2402.470953922613
1953.12251882272,116806.11693400325,1696.3232542007074,2039198.898447603,1019.8279134299958,2699.387824277961
1953.16084873374,115696.03680938751,1880.4480574016693,2042214.3864850558,1134.360248946728,3015.494162006995
1953.19917864476,114269.09931030146,2058.54814281518,2045549.954652749,1247.396328813421,3335.57430177869
1953.23750855578,112558.22136520964,2218.6970633425135,2049191.8720855704,1351.9164758281686,3641.92357738332
1953.2758384668,110681.8156136521,2286.389772877883,2053105.4028790276,1438.8039180477062,3913.5369493676285
1953.31416837782,110718.14559794978,1360.8262000781003,2056607.2009202717,1014.1013287534039,3501.804208665317
1953.35249828884,110146.65566666619,1534.5844614878968,2059257.6697628635,945.4023714716113,2650.4750189542783
1953.39082819986,109514.80399869075,1601.1164628074623,2061962.2006888306,986.452967255571,2704.5371103068965
1953.42915811088,108780.8902954992,1658.0678594107649,2064778.1047053447,1023.9995109450084,2815.9102091402688
1953.4674880219,107963.9188315579,1703.915977979087,2067690.6623001606,1055.210670727468,2912.5637960424706
1953.50581793292,107087.60394036151,1736.402205394998,2070679.9215942137,1078.5581964257037,2989.265504141894
1953.54414784394,106178.34722783019,1753.9022857710333,2073722.1329309442,1092.8758935252217,3042.2175558766626
1953.58247775496,106748.22392456364,1012.1755080141461,2076384.4510817954,763.0952449837574,2662.3243788192503
1953.62080766598,107893.9798215302,622.1535946213443,2078078.273138131,470.0445577686141,1693.8282907943878
1953.659137577,109414.6513274189,387.35884853284574,2079123.349792955,291.3084316235859,1045.082893311744
1953.69746748802,111118.20004852861,282.4993692871141,2079775.547901996,188.30159485892608,652.2043500258926
1953.73579739904,112707.13844769944,312.45206256337843,2080297.7367077721,190.6662545381717,522.1950484461818
1953.77412731006,114249.03840326707,339.79632448240875,2080852.0773914568,206.0675630138884,554.346927960968
1953.81245722108,115724.02703311884,375.021262713939,2081456.1309046478,226.2562680614971,604.0597592035938
1953.8507871321,117347.29403392605,301.57057867062366,2082067.724765694,194.7599317501274,611.6001089253201
1953.88911704312,118844.5086557224,353.4355275435296,2082627.6321567337,211.11050054199276,559.9136406348363
1953.92744695414,120245.95452241773,408.15862178234823,2083260.839807303,242.4885566851346,633.2139019463966
1953.96577686516,121520.31601546812,477.4150034059904,2083993.4822797324,282.4045567814226,732.6487258495024
1954.00410677618,123018.16992024778,345.9590306606746,2084774.2915194684,246.797412159223,780.8154954854411
1954.0424366872,124541.16212272347,357.93686141957795,2085381.0710617353,212.10662983754244,606.7858000950724
1954.08076659822,125868.14465334191,438.62737112927175,2086032.2077460228,255.83792160047915,651.1429439462094
1954.11909650924,127009.74317622182,541.4127543462932,2086827.1678614758,314.56559058786877,794.9663772716277
1954.15742642026,127910.8907656979,674.737416159919,2087810.0971934954,390.82892970507095,982.9355964939982
1954.19575633128,128503.00237015354,846.7877432439315,2089036.6316323543,489.43808735210087,1226.540706632893
1954.2340862423,128701.59538855116,1066.5608754274817,2090576.897316945,615.8642253910964,1540.271956496371
